000 9000-000.bmp,9000,0,0,0,1
001 000-000.bmp,0,0,35,107,1
002 000-010.bmp,0,10,31,107,1
003 000-001.bmp,0,1,35,107,1
004 000-002.bmp,0,2,32,107,1
005 000-003.bmp,0,3,35,107,1
006 000-004.bmp,0,4,30,107,1
007 000-005.bmp,0,5,35,107,1
001 000-000.bmp,0,6,35,107,1
007 000-005.bmp,0,7,35,107,1
010 000-008.bmp,0,8,32,107,1
011 005-000.bmp,5,0,34,104,1
012 006-000.bmp,6,0,34,65,1
013 010-000.bmp,10,0,38,86,1
014 011-000.bmp,11,0,38,65,1
015 020-000.bmp,20,0,35,108,1
016 020-001.bmp,20,1,35,106,1
017 020-002.bmp,20,2,36,108,1
018 020-003.bmp,20,3,35,108,1
019 020-004.bmp,20,4,35,108,1
020 020-005.bmp,20,5,36,107,1
021 020-006.bmp,20,6,35,108,1
022 020-007.bmp,20,7,35,106,1
023 020-008.bmp,20,8,36,108,1
024 020-009.bmp,20,9,35,108,1
025 020-010.bmp,20,10,36,108,1
026 021-000.bmp,21,0,31,106,1
027 021-001.bmp,21,1,31,106,1
028 021-002.bmp,21,2,35,106,1
029 021-003.bmp,21,3,36,106,1
028 021-002.bmp,21,4,35,106,"1	;clone of 28"
027 021-001.bmp,21,5,31,106,"1	;clone of 27"
032 041-000.bmp,41,0,37,93,1
033 041-001.bmp,41,1,38,90,1
032 041-000.bmp,42,0,37,93,"1	;clone of 32"
033 041-001.bmp,42,1,38,90,"1	;clone of 33"
036 042-003.bmp,42,3,36,104,1
037 043-000.bmp,43,0,36,97,1
038 100-000.bmp,100,0,50,69,1
039 100-001.bmp,100,1,45,74,1
040 100-002.bmp,100,2,45,73,1
041 100-003.bmp,100,3,45,76,1
042 105-000.bmp,105,0,33,95,1
037 043-000.bmp,105,1,36,97,"1	;clone of 37"
044 105-002.bmp,105,2,38,90,1
045 105-003.bmp,105,3,41,69,1
013 010-000.bmp,105,4,38,86,"1	;clone of 13"
047 120-000.bmp,120,0,35,109,1
048 121-000.bmp,121,0,40,65,1
049 122-000.bmp,122,0,36,97,1
001 000-000.bmp,200,0,32,108,"1	;clone of 1"
051 200-002.bmp,200,2,25,108,1
052 200-003.bmp,200,3,31,108,1
053 200-004.bmp,200,4,24,108,1
054 200-001.bmp,200,1,27,108,1
055 210-000.bmp,210,0,46,95,1
056 210-001.bmp,210,1,21,96,1
057 210-002.bmp,210,2,18,96,1
058 210-003.bmp,210,3,22,96,1
059 220-000.bmp,220,0,42,107,1
060 220-001.bmp,220,1,64,97,1
061 220-002.bmp,220,2,29,106,1
062 220-003.bmp,220,3,33,125,1
063 220-004.bmp,220,4,32,127,1
014 011-000.bmp,400,0,38,65,"1	;clone of 14"
065 400-001.bmp,400,1,37,65,1
066 400-002.bmp,400,2,37,65,1
067 410-000.bmp,410,0,36,69,1
068 410-001.bmp,410,1,34,69,1
069 410-002.bmp,410,2,34,69,1
067 410-000.bmp,410,3,36,69,"1	;clone of 67"
071 420-000.bmp,420,0,36,76,1
072 420-001.bmp,420,1,35,84,1
073 420-002.bmp,420,2,34,82,1
074 420-003.bmp,420,3,35,81,1
075 600-001.bmp,600,1,37,92,1
076 600-002.bmp,600,2,37,92,1
075 600-001.bmp,600,3,37,92,"1	;clone of 75"
078 610-000.bmp,610,0,38,91,1
079 610-001.bmp,610,1,38,94,1
080 610-002.bmp,610,2,37,94,1
081 610-003.bmp,610,3,30,94,1
082 610-004.bmp,610,4,33,94,1
083 620-000.bmp,620,0,54,115,1
084 620-001.bmp,620,1,41,111,1
085 620-002.bmp,620,2,46,106,1
086 620-003.bmp,620,3,48,86,1
087 800-000.bmp,800,0,35,108,1
088 810-000.bmp,810,0,35,115,1
089 810-001.bmp,810,1,35,126,1
090 850-001.bmp,850,1,40,106,1
091 1000-001.bmp,1000,1,45,95,1
092 1000-002.bmp,1000,2,44,98,1
093 1000-003.bmp,1000,3,49,115,1
094 1000-004.bmp,1000,4,46,115,1
095 1000-005.bmp,1000,5,46,115,1
096 1000-006.bmp,1000,6,48,109,1
092 1000-002.bmp,1000,7,49,97,"1	;clone of 92"
091 1000-001.bmp,1000,8,48,95,"1	;clone of 91"
099 1030-000.bmp,1030,0,34,110,1
100 1030-001.bmp,1030,1,42,110,1
101 1030-002.bmp,1030,2,43,106,1
102 1030-003.bmp,1030,3,38,103,1
103 1030-004.bmp,1030,4,40,106,1
104 1030-005.bmp,1030,5,56,126,1
105 1030-006.bmp,1030,6,58,129,1
106 1030-007.bmp,1030,7,57,103,1
107 1031-000.bmp,1031,0,21,8,1
108 1031-001.bmp,1031,1,21,8,1
109 1050-000.bmp,1050,0,33,103,1
110 1050-001.bmp,1050,1,39,139,1
111 1050-002.bmp,1050,2,50,138,1
112 1050-003.bmp,1050,3,31,144,1
086 620-003.bmp,1050,4,37,87,"1	;clone of 86"
114 1100-000.bmp,1100,0,37,81,1
115 1100-001.bmp,1100,1,54,94,1
116 1100-002.bmp,1100,2,45,98,1
117 1100-003.bmp,1100,3,53,98,1
118 1100-004.bmp,1100,4,53,96,1
119 1100-005.bmp,1100,5,44,115,1
120 1100-006.bmp,1100,6,37,113,1
121 1100-007.bmp,1100,7,37,108,1
122 1100-008.bmp,1100,8,32,82,1
123 1100-009.bmp,1100,9,57,92,1
124 1100-010.bmp,1100,10,58,92,1
125 1100-011.bmp,1100,11,58,92,1
126 1100-012.bmp,1100,12,57,94,1
127 1100-013.bmp,1100,13,57,94,1
128 1100-014.bmp,1100,14,58,94,1
129 1100-015.bmp,1100,15,48,109,1
130 5000-000.bmp,5000,0,35,104,1
130 5000-000.bmp,5001,0,32,47,"1	;clone of 130"
